		Total Processors: 5

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:    43   | Type A,  1 | Type C,  3 | Type B,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:    44   | Type D,  3 | Type C,  2 | Type B,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:    45   | Type D,  2 | Type C,  1 | Type B,  2 | Type C, 12 | Not Active | No queue items | No queue items | 
  Time:    46   | Type D,  1 | Not Active | Type B,  1 | Type C, 11 | Not Active | No queue items | No queue items | 
  Time:    47   | Type A,  3 | Type B,  2 | Not Active | Type C, 10 | Not Active | No queue items | No queue items | 
  Time:    48   | Type A,  2 | Type B,  1 | Not Active | Type C,  9 | Not Active | No queue items | No queue items | 
  Time:    49   | Type A,  1 | Not Active | Not Active | Type C,  8 | Not Active | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:    50   | Not Active | Not Active | Not Active | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:    51   | Type A,  2 | Not Active | Not Active | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:    52   | Type A,  1 | Not Active | Not Active | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:    53   | Not Active | Not Active | Not Active | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:    54   | Type B,  4 | Not Active | Not Active | Type C,  3 | Not Active | No queue items | No queue items | 
  Time:    55   | Type B,  3 | Type A,  5 | Not Active | Type C,  2 | Not Active | No queue items | No queue items | 
  Time:    56   | Type B,  2 | Type A,  4 | Type C, 10 | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:    57   | Type D,  5 | Type A,  3 | Type C,  9 | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:    58   | Type D,  4 | Type A,  2 | Type C,  8 | Not Active | Not Active | No queue items | No queue items | 
  Time:    59   | Type D,  3 | Type A,  1 | Type C,  7 | Not Active | Not Active | No queue items | No queue items | 
  Time:    60   | Type D,  2 | Not Active | Type C,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:    61   | Type D,  1 | Type A,  4 | Type C,  5 | Type B,  6 | Not Active | No queue items | No queue items | 
  Time:    62   | Not Active | Type A,  3 | Type C,  4 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:    63   | Not Active | Type A,  2 | Type C,  3 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:    64   | Not Active | Type A,  1 | Type C,  2 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:    65   | Not Active | Not Active | Type C,  1 | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:    66   | Type A,  3 | Type C, 12 | Not Active | Type B,  1 | Not Active | No queue items | No queue items | 
