		Total Processors: 3

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   160   | Type D,  6 | Type C,  5 | Type A,  1 | Q Total:    15 | No queue items | 
  Time:   161   | Type D,  5 | Type C,  4 | Type B,  7 | Q Total:    14 | No queue items | 
  Time:   162   | Type D,  4 | Type C,  3 | Type B,  6 | Q Total:    14 | No queue items | 
  Time:   163   | Type D,  3 | Type C,  2 | Type B,  5 | Q Total:    15 | No queue items | 
  Time:   164   | Type D,  2 | Type D,  3 | Type B,  4 | Q Total:    16 | No queue items | 
  Time:   165   | Type D,  1 | Type D,  2 | Type B,  3 | Q Total:    16 | No queue items | 
  Time:   166   | Type C,  1 | Type D,  1 | Type B,  2 | Q Total:    16 | No queue items | 
  Time:   167   | Type C,  8 | Type A,  5 | Type B,  1 | Q Total:    14 | No queue items | 
  Time:   168   | Type C,  7 | Type A,  4 | Type B,  8 | Q Total:    13 | No queue items | 
  Time:   169   | Type C,  6 | Type A,  3 | Type B,  7 | Q Total:    14 | No queue items | 
  Time:   170   | Type C,  5 | Type A,  2 | Type B,  6 | Q Total:    15 | No queue items | 
  Time:   171   | Type C,  4 | Type A,  1 | Type B,  5 | Q Total:    15 | No queue items | 
  Time:   172   | Type C,  3 | Type C,  8 | Type B,  4 | Q Total:    14 | No queue items | 
  Time:   173   | Type C,  2 | Type C,  7 | Type B,  3 | Q Total:    14 | No queue items | 
  Time:   174   | Type C,  1 | Type C,  6 | Type B,  2 | Q Total:    14 | No queue items | 
  Time:   175   | Type A,  3 | Type C,  5 | Type B,  1 | Q Total:    15 | No queue items | 
  Time:   176   | Type A,  2 | Type C,  4 | Type A,  5 | Q Total:    14 | No queue items | 
  Time:   177   | Type D,  4 | Type C,  3 | Type A,  4 | Q Total:    15 | No queue items | 
  Time:   178   | Type D,  3 | Type C,  2 | Type A,  3 | Q Total:    16 | No queue items | 
  Time:   179   | Type D,  2 | Type C,  1 | Type A,  2 | Q Total:    16 | No queue items | 
  Time:   180   | Type D,  1 | Type A,  1 | Type A,  1 | Q Total:    16 | No queue items | 
  Time:   181   | Type B,  5 | Type A,  2 | Type B,  6 | Q Total:    13 | No queue items | 
  Time:   182   | Type B,  4 | Type A,  1 | Type B,  5 | Q Total:    13 | No queue items | 
  Time:   183   | Type B,  3 | Type C,  8 | Type B,  4 | Q Total:    13 | No queue items | 
